experiment_id,condition,task_domain,task_type,schema_conformance_pct,grounding_citation_pct,cross_domain_consistency_pct,hallucination_rate_pct,completion_time_seconds,token_count,entropy,perplexity,traceability_pct,reasoning_depth,expert_rating_out_of_10,notes
exp001,baseline,ddd,single_domain,45,0,NA,28,180,850,4.2,18.4,15,1.2,4.5,No schema provided
exp002,single_schema,ddd,single_domain,85,35,NA,12,120,4200,2.8,9.1,42,1.8,7.2,DDD schema only
exp003,multi_schema,ddd,cross_domain,82,68,70,15,140,12500,2.1,5.3,55,2.3,8.1,DDD + Data-Eng schemas
exp004,full_canonical,ddd,cross_domain,90,88,88,8,105,18200,1.9,4.1,60,2.8,8.5,All schemas + grounding
exp005,baseline,data_eng,single_domain,42,0,NA,32,210,920,4.5,21.2,12,1.1,4.2,No schema
exp006,single_schema,data_eng,single_domain,88,40,NA,10,115,4500,2.5,7.8,48,1.9,7.5,Data-Eng schema only
exp007,multi_schema,data_eng,cross_domain,85,72,75,12,125,13200,2.0,5.1,58,2.5,8.3,Data-Eng + DDD schemas
exp008,full_canonical,data_eng,cross_domain,93,90,92,6,98,19100,1.8,3.9,65,3.1,8.8,All schemas + grounding
exp009,baseline,ux,single_domain,48,0,NA,25,195,780,4.1,17.9,18,1.3,4.8,No schema
exp010,single_schema,ux,single_domain,82,38,NA,14,135,4100,2.9,9.5,40,1.7,7.0,UX schema only
exp011,multi_schema,ux,cross_domain,79,65,68,18,150,12800,2.3,6.2,52,2.2,7.9,UX + DDD schemas
exp012,full_canonical,ux,cross_domain,88,85,85,9,110,17900,2.0,4.5,58,2.6,8.4,All schemas + grounding
exp013,baseline,qe,single_domain,50,0,NA,22,175,890,4.0,16.5,20,1.4,5.1,No schema
exp014,single_schema,qe,single_domain,80,32,NA,15,140,3900,3.0,10.2,38,1.6,6.8,QE schema only
exp015,multi_schema,qe,cross_domain,75,60,65,20,165,11900,2.4,6.8,48,2.0,7.5,QE + DDD + UX schemas
exp016,full_canonical,qe,cross_domain,86,82,82,11,125,16800,2.1,4.8,55,2.5,8.2,All schemas + grounding
exp017,baseline,full_stack,multi_domain,40,0,30,35,540,1200,4.8,25.3,10,1.0,3.9,Complete feature - no schema
